Anchor1,Anchor2,Anchor3,Anchor4
2.89,2.81,5.1,3.52
2.93,2.79,4.98,3.51
2.97,2.68,4.84,3.44
3.05,2.73,5.42,3.44
3.06,2.63,5.35,3.39
3.1,2.52,5.34,3.27
3.2,2.57,5.38,3.21
3.23,2.48,5.49,3.17
3.23,2.52,5.37,3.13
3.29,2.46,5.28,3.16
3.37,2.35,5.25,3.13
3.42,2.28,5.25,3.08
3.4,2.25,5.35,3.03
3.37,2.19,5.34,3.02
3.43,2.14,5.56,2.98
3.43,2.11,5.52,2.95
3.51,2.01,5.6,3
3.48,2.05,5.77,2.95
3.55,2.06,5.93,2.92
3.62,1.98,5.88,2.89
3.63,1.96,5.9,2.86
3.65,1.94,5.96,2.83
3.69,1.93,5.95,2.84
3.72,1.79,6.08,2.82
3.79,1.82,6.17,2.81
3.85,1.77,6.22,2.74
3.81,1.7,6.27,2.67
3.89,1.72,6.29,2.78
3.95,1.62,6.25,2.73
3.95,1.62,6.22,2.68
3.96,1.72,6.16,2.65
4.02,1.63,6.06,2.6
3.98,1.64,6.13,2.59
4.11,1.59,6.12,2.6
4.05,1.61,6.08,2.55
4.16,1.55,6.1,2.52
4.22,1.54,6.06,2.45
4.24,1.48,6.08,2.5
4.26,1.42,6.11,2.49
4.29,1.48,6.12,2.47
4.34,1.39,6.09,2.47
4.36,1.38,6.22,2.42
4.39,1.37,6.18,2.46
4.39,1.42,6.21,2.47
4.38,1.48,6.19,2.36
4.38,1.45,6.28,2.37
4.41,1.4,6.25,2.36
4.42,1.39,6.25,2.36
4.42,1.38,6.2,2.32
4.4,1.51,6.2,2.29
4.43,1.5,6.22,2.27
4.42,1.55,6.18,2.33
4.43,1.58,6.14,2.3
4.37,1.63,6.16,2.21
4.43,1.53,6.17,2.24
4.32,1.62,5.93,2.19
4.44,1.63,6.08,2.15
4.41,1.67,6.39,2.12
4.45,1.78,6.22,2.18
4.45,1.72,6.19,2.18
4.46,1.76,6.19,2.08
4.5,1.81,6.09,2.12
4.59,1.91,5.99,2.06
4.64,1.84,6.02,2
4.6,1.99,6.01,1.97
4.56,2.01,6.08,1.9
4.57,2.09,6.22,1.83
4.55,2.36,5.99,1.76
4.7,2,6.26,1.76
4.58,2.04,6.12,1.72
4.64,2.08,5.99,1.7
4.62,2.3,6.02,1.66
4.72,2.36,5.85,1.63
4.73,2.26,5.78,1.62
4.66,2.33,5.7,1.63
4.73,2.4,5.78,1.6
4.77,2.48,5.85,1.56
4.73,2.58,5.83,1.56
4.74,2.63,5.57,1.53
4.78,2.68,5.53,1.5
4.78,2.74,5.69,1.51
4.72,2.82,5.6,1.49
4.78,3.04,5.62,1.55
4.82,2.85,5.62,1.5
4.88,2.53,5.64,1.47
4.92,3.07,5.65,1.47
4.95,2.81,5.68,1.43
4.9,2.82,5.67,1.34
4.96,3.28,5.65,1.36
4.99,2.6,5.74,1.32
5,3.35,5.77,1.25
5.07,3.13,5.71,1.27
5.1,2.96,5.68,1.21
5.15,3.01,5.73,1.14
